user,activity,posture,start,duration,AVGNN,SDNN,MeanHR,STD HR,MinHR,MaxHR,RMSSD,NNxx,pNNxx,HRV triangular index,TINN,powerVLF,powerLF,powerHF,ratioHFLF
1,focused-active,sit,2017-10-30 02:18,5,923.4,71.477,64.977,5.2973,57.893,77.983,42.041,70,21.672,15.429,315,1868.6,1031,578.03,1.7836
1,focused-active,sit,2017-10-30 02:23,5,889.48,63.23,67.455,5.2351,60.631,84.866,35.877,45,13.393,14.042,293,1010.7,1346.8,390.76,3.4466
1,focused-active,sit,2017-10-30 02:28,5,880.67,60.366,68.13,4.7515,59.571,80.71,36.03,58,17.109,15.455,312,1881.8,1096.7,362.76,3.0232
1,focused-active,sit,2017-10-30 02:33,5,886.98,57.816,67.645,4.6245,59.406,83.449,35.018,52,15.43,11.655,275,758.39,1292.4,403.26,3.2049
1,focused-active,sit,2017-11-01 18:51,5,810.7,75.028,74.01,7.1888,61.817,91.884,34.152,49,13.208,12.828,295,3867.8,2077.4,383.69,5.4141
1,focused-active,sit,2017-11-03 02:04,5,834.69,64.014,71.883,5.7639,64.212,89.074,41.059,73,20.563,15.478,301,1283.9,1399,731.58,1.9123
1,focused-active,sit,2017-11-03 02:09,5,873.96,53.516,68.653,4.5898,62.867,84.341,35.167,45,13.235,12.63,269,696.61,643.73,602.16,1.069
1,focused-active,sit,2017-11-03 02:14,5,839.03,71.188,71.511,7.4905,63.586,90.909,46.849,40,11.236,14.28,413,2763.3,1804.7,763.69,2.3631
1,focused-active,sit,2017-11-03 02:19,5,856.73,76.184,70.033,7.2142,60.399,95.902,36.898,40,11.494,15.864,428,3027,1580.3,301.38,5.2436
1,focused-active,sit,2017-11-03 02:24,5,865.83,56.607,69.298,4.894,61.894,86.856,33.528,43,12.573,13.192,278,1908.6,1543.4,508.57,3.0347
1,focused-active,sit,2017-11-04 03:14,5,776.38,73.948,77.282,7.7483,63.211,103.63,31.333,37,9.6104,14.846,307,2347.1,2130.1,289.59,7.3557
1,focused-active,sit,2017-11-04 03:19,5,774.73,54.504,77.447,5.5254,67.935,90.036,30.09,30,7.772,13.345,277,1041.9,1540.8,248.98,6.1882
1,focused-active,sit,2017-11-04 03:24,5,774.49,55.854,77.471,5.645,66.225,90.854,29.647,30,7.7519,12.125,245,624.17,1667.9,273.77,6.0924
1,focused-active,sit,2017-11-04 03:29,5,757.28,57.801,79.231,6.1754,64.007,91.185,39.476,22,5.5696,11.647,350,965.47,1324.5,301.42,4.3942
1,leisure-passive,sit,2017-10-29 19:31,5,701.24,85.18,85.563,10.179,64.272,108.54,42.524,68,16.076,20.19,403,2374.7,3658.4,943.28,3.8784
1,leisure-passive,sit,2017-10-29 19:36,5,747.52,76.714,80.266,8.7616,67.598,103.31,35.738,49,12.374,22.056,356,5077,1776.4,395.14,4.4955
1,leisure-passive,sit,2017-10-29 19:41,5,770.22,72.33,77.9,7.769,65.359,98.945,36.182,59,15.245,15.52,305,3879.3,1451.1,554.09,2.6189
1,leisure-passive,sit,2017-10-29 19:46,5,736.59,96.94,81.456,11.015,62.919,108.7,40.354,67,16.543,22.556,460,6553.2,5146,713.47,7.2127
1,leisure-passive,sit,2017-10-29 19:51,5,763.4,97.832,78.596,10.583,62.972,100.91,40.115,62,15.979,18.524,466,3403.8,2421.4,525.45,4.6083
1,leisure-passive,sit,2017-10-30 00:37,5,901.51,83.594,66.555,6.5126,56.148,83.635,44.479,77,23.263,13.28,371,2234.7,1073.7,819.92,1.3096
1,leisure-passive,sit,2017-10-30 00:42,5,898.1,80.071,66.808,6.6492,56.37,92.393,43.587,68,20.544,14.435,352,1645.4,1701.8,542.07,3.1395
1,leisure-passive,sit,2017-10-30 00:47,5,887,80.859,67.644,6.4622,57.023,84.986,38.282,70,20.772,17.789,352,3338.9,1399.8,473.55,2.9559
1,leisure-passive,sit,2017-10-30 00:52,5,910.28,77.765,65.914,6.1984,57.937,90.117,40.407,67,20.365,19.412,355,2737.3,1159.8,555.85,2.0865
1,leisure-passive,sit,2017-10-30 00:57,5,844.17,76.187,71.076,6.6606,60.692,87.977,37.292,64,18.13,16.091,346,4032.6,1050.4,516.39,2.034
1,leisure-passive,sit,2017-10-30 16:49,5,806.81,82.989,74.367,8.1415,61.013,93.838,44.848,86,23.118,17.762,349,2124.2,2041.7,502.76,4.061
1,leisure-passive,sit,2017-10-30 16:54,5,830,69.4,72.289,6.2594,61,87.464,39.357,64,17.778,14.44,353,2033.2,1363.7,639.58,2.1322
1,leisure-passive,sit,2017-11-01 17:50,5,746.55,64.601,80.37,6.8971,63.857,97.815,28.354,24,5.985,12.563,289,1802.9,1473.2,289.88,5.0821
1,leisure-passive,sit,2017-11-02 22:16,5,753.13,75.68,79.668,8.321,68.012,103.13,36.658,53,13.35,23.412,400,3455.5,1820.4,525.71,3.4627
1,leisure-passive,sit,2017-11-02 22:21,5,773.38,64.287,77.582,6.897,67.996,98.555,31.533,42,10.853,16.87,287,2428.6,1058.8,317.04,3.3396
1,leisure-passive,sit,2017-11-02 22:26,5,799.3,65.81,75.066,6.5217,65.617,92.49,37.05,57,15.2,15.04,292,2502.5,955.46,528.51,1.8078
1,leisure-passive,sit,2017-11-02 22:31,5,806.38,69.464,74.406,6.879,63.492,94.251,35.546,45,12.129,14.88,321,2453.8,848.45,559.85,1.5155
1,leisure-passive,sit,2017-11-03 01:40,5,891.57,101.76,67.297,9.0137,56.001,90.627,64.24,90,27.19,16.6,549,2201.9,5614.4,871.06,6.4455
1,leisure-passive,sit,2017-11-03 01:45,5,927.29,72.255,64.705,5.3466,55.597,79.831,41.279,46,14.33,16.947,402,1914.6,1960.3,574.58,3.4117
1,leisure-passive,sit,2017-11-03 01:50,5,898.78,58.886,66.757,4.5236,58.377,79.402,32.355,38,11.55,16.5,282,2752.5,963.84,471.32,2.045
