user,activity,posture,AVGNN,SDNN,MeanHR,MinHR,MaxHR,RMSSD,pNNxx,TINN,powerVLF,powerLF,powerHF,ratioHFLF
2,focused-active,sit,748.61,40.022,80.149,70.572,94.103,21.196,1.7544,212,20,10.667,16,2.6488
2,focused-active,sit,822.61,66.359,72.939,63.358,98.425,35.578,12.672,324,16.667,53.333,15,1.387
2,focused-active,sit,806.85,69.949,74.363,61,90.772,36.474,11.59,323,20,50,31.333,2.0599
2,focused-passive,sit,592.59,37.714,101.25,89.713,117.51,15.367,1.1881,186,66.667,43.333,24.667,3.8341
2,focused-passive,sit,634.34,41.368,94.586,80.021,106.99,10.672,42.373,184,33.333,40,16,3.1045
2,focused-passive,sit,645.55,38.646,92.945,81.967,107.53,11.386,21.552,178,66.667,11,16.333,17.064
2,focused-passive,sit,664.17,54.585,90.338,74.59,112.57,15.292,88.889,249,16.667,43.333,24.333,8.1268
2,focused-passive,sit,673.78,46.035,89.05,74.664,113.08,19.02,2.7027,283,36.667,43.333,16.333,4.8406
2,focused-passive,sit,689.69,41.297,86.996,75.624,106.35,15.925,1.1521,210,66.667,40,16,6.1986
2,focused-passive,sit,696.81,57.378,86.107,73.547,106.76,17.59,1.6317,248,16.667,96.667,15.333,7.0646
2,focused-passive,sit,704.15,50.346,85.209,73.983,104.28,20.112,2.3529,228,16.667,43.333,17.333,3.8228
2,focused-passive,sit,727.83,46.88,82.437,70.061,103.2,21.572,2.9197,277,10,53.333,16.667,6.4095
2,focused-passive,sit,727.01,55.065,82.53,70.439,106.12,19.862,2.4331,261,20,40,15.333,4.7394
2,focused-passive,sit,722.25,66.06,83.073,67.476,109.73,25.985,3.8647,355,30,83.333,15.333,8.6638
2,focused-passive,sit,711.16,68.333,84.369,68.871,107.72,33.274,6.4133,340,33.333,63.333,17.667,4.8991
2,focused-passive,sit,715.54,79.429,83.852,68.182,105.75,31.892,8.6124,414,13.333,43.333,15.333,6.209
2,focused-passive,sit,758.08,62.078,79.147,66.726,105.23,32.241,6.8354,325,66.667,40,17.333,2.0164
2,focused-passive,sit,728.25,71.213,82.39,68.462,106.04,31.964,7.056,384,13.333,76.667,17.667,4.2189
2,focused-passive,sit,742.93,89.412,80.762,67.234,145.94,45.453,12.987,555,33.333,80,18.333,4.4886
2,focused-passive,sit,672.58,95.861,89.208,66.342,117.65,19.066,2.4775,355,33.333,50,16,5.4356
2,focused-passive,sit,804.24,72.129,74.604,64.837,91.269,34.526,11.29,386,33.333,10,17,2.9327
