user,activity,posture,AVGNN,SDNN,MeanHR,MinHR,MaxHR,RMSSD,pNNxx,TINN,powerVLF,powerLF,powerHF,ratioHFLF
0,household-chores,stand,736.89,70.011,81.424,68.556,101.15,37.753,14.568,351,1271.4,2391.3,647.14,3.6952
0,household-chores,stand,569.36,36.295,105.38,91.912,119.86,28.691,0.95057,337,507.67,148.58,29.782,4.9889
0,household-chores,stand,575.59,55.555,104.24,87.925,138.82,26.533,2.3077,346,1815.7,379.54,131.92,2.877
0,household-chores,stand,583.77,64.68,102.78,77.902,129.14,38.248,6.2378,414,1163.9,1212.4,368.25,3.2923
0,household-chores,stand,564.73,59.766,106.25,78.105,128.81,24.028,2.8355,316,3468.7,1147.4,260.25,4.4088
0,household-chores,stand,567.53,39.095,105.72,91.912,123.25,14.743,0.75758,191,1520.5,339.26,78.405,4.327
0,household-chores,stand,584.54,46.283,102.64,87.925,116.01,32.526,2.3392,347,1131.9,688.48,168.18,4.0938
0,household-chores,stand,566.46,64.809,105.92,77.902,138.82,28.886,4.1667,421,5168,1343.5,544.93,2.4654
0,household-chores,stand,572.54,56.91,104.8,84.341,162.15,50.862,6.4885,455,916.54,270.98,83.597,3.2415
0,household-chores,stand,527.98,107.83,113.64,88.6,202.16,122.36,36.092,448,1026.3,1558.4,2047.4,0.76117
0,household-chores,stand,584.15,94.459,102.71,77.97,192.19,103.12,22.649,457,2282.3,704.2,1899.4,0.37074
0,household-chores,stand,575.96,63.002,104.17,80.819,202.13,41.379,6.3707,533,413.27,460.09,160.55,2.8656
0,household-chores,stand,544.15,88.528,110.26,84.507,184.96,88.782,21.597,411,2761.3,1219.3,2023.2,0.60268
0,household-chores,stand,633.78,79.684,94.67,81.722,139.35,65.728,11.158,502,1861.4,488.95,258.99,1.8879
0,household-chores,stand,690.84,44.297,86.851,75.567,109.43,37.886,6.8966,325,316.54,333.75,204.21,1.6344
0,household-chores,stand,528.62,47.998,113.5,88.339,130.21,33.798,3.7168,324,1508.5,453.72,152.48,2.9756
0,household-chores,stand,591.89,49.362,101.37,76.511,119.47,28.898,5.5446,273,592.38,516.13,207.48,2.4876
0,leisure-active,sit,1110.7,169.61,54.018,46.012,75.188,207.49,78.97,799,7728.6,3696.6,11131,0.33211
0,leisure-active,sit,1089,170.61,55.096,48.301,72.446,225.5,85.294,786,3484.2,4579.2,12162,0.37653
0,leisure-active,sit,775.37,47.646,77.382,68.462,95.359,36.69,14.508,230,1241.4,421.86,387.77,1.0879
0,leisure-active,sit,789.28,57.028,76.019,61.881,92.793,46.271,21.842,333,842.16,633.01,743.76,0.85109
0,leisure-active,sit,765.56,49.17,78.374,64.392,89.606,40.56,16.624,301,527.86,450.32,393.33,1.1449
0,leisure-active,sit,742.72,39.688,80.785,72.833,93.721,29.224,7.6923,200,492.1,515.79,343.75,1.5005
0,leisure-active,sit,757.45,45.055,79.213,67.919,89.552,33.882,12.152,221,909.1,725.59,560.82,1.2938
0,leisure-active,sit,767.09,51.889,78.218,65.445,94.192,38.652,14.615,274,1482.5,1400.6,689.16,2.0323
0,leisure-active,sit,763.33,45.752,78.603,66.065,90.498,35.64,12.755,253,796.33,515.64,425.67,1.2113
0,leisure-active,sit,794.53,49.29,75.516,62.06,88.054,42.02,14.854,285,1376.9,1108.5,831.78,1.3327
0,leisure-active,sit,805.24,59.603,74.512,58.617,93.284,48.597,21.833,330,953.44,1491,992.76,1.5018
0,leisure-active,sit,759.78,74.173,78.97,63.441,98.103,50.67,25.634,381,1769.4,1309.3,1165.3,1.1236
0,leisure-active,sit,802.57,88.272,74.759,54.459,92.736,60.731,24.85,448,10480,4378.3,3112.3,1.4068
0,leisure-active,sit,800.56,87.239,74.947,54.617,100.37,60.173,30.24,496,1452.8,549.86,697.94,0.78783
0,leisure-passive,sit,937.04,177.4,64.032,50.37,109.25,182.55,78.638,739,3907.3,6818.5,14028,0.48606
0,leisure-passive,sit,942.03,201.76,63.692,47.293,147.82,181.89,74.204,881,15472,9313.6,11606,0.80247
0,leisure-passive,sit,890.29,154.79,67.394,46.382,89.847,125.81,53.211,594,18775,7783.9,5695.5,1.3667
0,leisure-passive,sit,832.06,194.33,72.11,51.93,550.32,147.84,67.867,1006,9281.4,6654.5,8437.4,0.78869
0,leisure-passive,sit,837.01,143.2,71.683,52.91,208.43,121.65,54.054,827,3606,2992.6,3683.9,0.81233
0,leisure-passive,sit,818.07,111.28,73.343,58.835,102.6,107.8,52.846,544,3825.2,4404.6,3502.6,1.2575
0,leisure-passive,sit,761.14,43.989,78.829,71.107,91.047,34.661,13.486,210,398.9,635.34,447.2,1.4207
0,leisure-passive,sit,776.88,95.128,77.232,58.334,94.132,63.478,27.822,468,5182,3424,2043.9,1.6753
0,leisure-passive,sit,726.75,44.572,82.56,72.922,96.618,31.177,9.7324,226,477.61,422.75,417.31,1.013
0,leisure-passive,sit,740.51,72.282,81.025,64.207,99.967,48.973,18.362,439,2056.8,865.99,508.57,1.7028
0,leisure-passive,sit,766.36,56.078,78.292,69.236,93.691,38.174,15.641,277,396.64,361.86,372.44,0.97159
0,leisure-passive,sit,734.63,73.786,81.674,62.163,104.6,36.537,15.441,399,1006.6,1692.9,473.33,3.5767
0,leisure-passive,sit,707.78,73.129,84.773,72.499,112.02,33.383,10.402,376,4661.6,1686.3,392.07,4.301
0,leisure-passive,sit,732.76,66.477,81.882,63.638,98.717,36.451,11.794,356,2267.7,1694.9,455.69,3.7195
0,leisure-passive,sit,765.57,89.828,78.373,61.184,94.847,59.525,19.537,430,6545.6,1984.1,1005.3,1.9736
0,leisure-passive,sit,763.83,81.239,78.552,64.781,102.35,47.765,21.429,346,3637.3,1063.5,469.52,2.2651
0,leisure-passive,sit,747.35,72.222,80.284,65.431,104.06,44.601,16.332,339,2708.6,1910.2,682.61,2.7984
0,leisure-passive,sit,676.89,54.802,88.641,72.15,104.68,26.61,4.7511,291,1997,756.93,172.76,4.3813
0,leisure-passive,sit,702.36,69.251,85.427,72.063,113.85,33.589,11.502,341,1936.4,1071.2,318.01,3.3684
0,leisure-passive,sit,729.53,85.005,82.245,62.163,112.02,36.052,13.869,449,3062.2,915.57,309.61,2.9572
0,leisure-passive,sit,714.87,58.698,83.931,64.606,102.04,33.693,9.8086,315,764.66,1085.7,384.93,2.8205
0,leisure-passive,sit,775.95,89.953,77.325,61.184,94.847,60.241,21.354,434,4975.9,3523,1361.3,2.5879
0,leisure-passive,sit,762.65,75.812,78.673,64.781,99.668,48.555,19.388,354,3709.1,987.62,576.3,1.7137
0,movement,stand,553.43,139.84,108.42,81.235,211.57,157.41,50.746,536,2543.7,2731.1,3986.7,0.68505
0,movement,stand,562.31,151.06,106.7,79.135,290.52,146.94,42.323,695,9552.5,3547.6,4628.1,0.76652
0,movement,stand,642.32,41.493,93.412,78.616,107.57,18.48,1.2876,205,1090.5,904.66,75.417,11.995
0,movement,stand,645.37,32.864,92.97,83.079,105.37,18.17,1.5086,170,389.54,279.91,39.828,7.0279
0,movement,stand,644.56,43.192,93.086,79.26,109.77,17.283,1.5086,197,766.37,603.9,153.84,3.9254
0,movement,stand,478.32,71.889,125.44,81.811,151.44,28.626,2.5723,365,2197.1,84.136,72.876,1.1545
0,movement,stand,587.29,75.784,102.16,85.034,149.33,83.974,29.183,433,1529.4,572.76,465.82,1.2296
0,movement,stand,561.22,85.681,106.91,89.84,162.25,113.03,37.523,400,1105.5,1197.7,2337.8,0.5123
0,movement,stand,541.41,103.57,110.82,81.147,177.82,109.72,31.569,518,4104.7,2403.5,2507.8,0.95843
0,movement,stand,588.23,77.439,102,85.034,149.33,89.666,33.203,427,1648.9,505.66,643.13,0.78625
0,movement,stand,560.07,91.529,107.13,85.827,162.25,118.95,37.803,491,1148,1435.2,2235.2,0.64209
0,movement,stand,626.13,47.882,95.827,81.147,122.32,54.254,7.0539,352,277.93,357.38,284.66,1.2555
0,movement,stand,644.81,46.61,93.051,81.389,118.99,48.121,7.0664,360,481.49,901.9,86.611,10.413
0,movement,stand,625.9,87.188,95.861,79.031,136.89,94.301,18.449,461,1261.9,371.61,397.94,0.93383
0,movement,stand,523.65,104.28,114.58,86.654,274.84,134.88,41.906,584,3376.4,3480.4,3385.2,1.0281
0,movement,stand,588.8,73.684,101.9,86.68,124.21,102.57,21.875,412,729.33,461.88,930.67,0.49628
0,movement,stand,558.55,96.28,107.42,87.668,200.67,96.396,23.845,413,1726.2,1185.2,1418,0.83581
0,movement,stand,592.59,73.13,101.25,67.162,149.27,63.086,13.069,414,1601.1,734.05,517.99,1.4171
0,movement,stand,602.54,58.884,99.579,83.264,131.52,64.848,12.6,376,752.76,649.6,499.11,1.3015
0,movement,stand,532.9,106.43,112.59,85.949,166.02,126.88,44.524,492,2261.5,970.8,1963,0.49454
0,movement,stand,582.94,81.268,102.93,64.911,138.89,69.857,21.512,478,2714.9,667.82,1163.8,0.57382
0,movement,stand,610.07,84.566,98.35,79.597,140.1,83.149,19.192,498,2242.4,581.55,1424.9,0.40813
0,movement,stand,495.72,94.018,121.04,84.722,177.41,89.689,17.91,433,5394.3,545.86,1045.4,0.52217
0,movement,stand,544.14,45.41,110.26,83.519,123.61,22.945,3.4672,225,788.05,265.86,87.087,3.0528
0,movement,stand,516.06,55.065,116.27,92.937,186.22,60.723,7.401,376,655.4,299.18,179.27,1.6689
0,movement,stand,488.29,83.35,122.88,92.138,204.08,103.05,34.856,360,449.69,310.42,600.95,0.51654
0,movement,stand,498.77,79.782,120.29,92.851,199.77,107.58,36.286,460,387.56,625.7,1504.7,0.41584
0,sleep,lie,806.09,109.1,74.433,56.829,113.14,77.316,34.492,606,2728.9,2124.5,1250.1,1.6995
0,sleep,lie,776.71,164.59,77.249,57.328,225.88,95.066,44.11,755,8946.1,3433.5,3966.6,0.8656
